idx,行业代码,行业名称,上级行业
0,850111.SI,种子,种植业
1,850112.SI,粮食种植,种植业
2,850113.SI,其他种植业,种植业
3,850114.SI,食用菌,种植业
4,850121.SI,海洋捕捞,渔业
5,850122.SI,水产养殖,渔业
6,850131.SI,林业Ⅲ,林业Ⅱ
7,850142.SI,畜禽饲料,饲料
8,850143.SI,水产饲料,饲料
9,850144.SI,宠物食品,饲料
10,850151.SI,果蔬加工,农产品加工
11,850152.SI,粮油加工,农产品加工
12,850154.SI,其他农产品加工,农产品加工
13,850172.SI,生猪养殖,养殖业
14,850173.SI,肉鸡养殖,养殖业
15,850174.SI,其他养殖,养殖业
16,850181.SI,动物保健Ⅲ,动物保健Ⅱ
17,850191.SI,农业综合Ⅲ,农业综合Ⅱ
18,850321.SI,纯碱,化学原料
19,850322.SI,氯碱,化学原料
20,850323.SI,无机盐,化学原料
21,850324.SI,其他化学原料,化学原料
22,850325.SI,煤化工,化学原料
23,850326.SI,钛白粉,化学原料
24,850335.SI,涂料油墨,化学制品
25,850337.SI,民爆制品,化学制品
26,850338.SI,纺织化学制品,化学制品
27,850339.SI,其他化学制品,化学制品
28,850382.SI,氟化工,化学制品
29,850372.SI,聚氨酯,化学制品
30,850135.SI,食品及饲料添加剂,化学制品
31,850136.SI,有机硅,化学制品
32,850137.SI,胶黏剂及胶带,化学制品
33,850341.SI,涤纶,化学纤维
34,850343.SI,粘胶,化学纤维
35,850344.SI,其他化学纤维,化学纤维
36,850345.SI,氨纶,化学纤维
37,850346.SI,锦纶,化学纤维
38,850351.SI,其他塑料制品,塑料
39,850353.SI,改性塑料,塑料
40,850354.SI,合成树脂,塑料
41,850355.SI,膜材料,塑料
42,850362.SI,其他橡胶制品,橡胶
43,850363.SI,炭黑,橡胶
44,850364.SI,橡胶助剂,橡胶
45,850331.SI,氮肥,农化制品
46,850332.SI,磷肥及磷化工,农化制品
47,850333.SI,农药,农化制品
48,850336.SI,钾肥,农化制品
49,850381.SI,复合肥,农化制品
